source,cycle,CCCT,CVCT,CCAV,SOH
B07_discharge_soh,1,3451.375,16.781,3.5444585366162165,0.945526148
B07_discharge_soh,2,3433.25,16.672,3.5543367110760866,0.940318514
B07_discharge_soh,3,3433.093,16.797,3.5548820501141303,0.940331336
B07_discharge_soh,4,3433.282,16.766,3.553468373940217,0.940385451
B07_discharge_soh,5,3431.328,16.719,3.5530312453315216,0.939725437
B07_discharge_soh,6,3413.25,16.719,3.5619506402677596,0.940350176
B07_discharge_soh,7,3412.204,16.719,3.5624300929289614,0.939967626
B07_discharge_soh,8,3415.234,16.75,3.5618804132732245,0.940754406
B07_discharge_soh,9,3413.438,16.734,3.5603072555901645,0.934845394
B07_discharge_soh,10,3414.281,16.672,3.558427580808743,0.93502619
B07_discharge_soh,11,3413.828,16.672,3.556042294508196,0.93502212
B07_discharge_soh,12,3394.64,16.797,3.560142827840659,0.92982595
B07_discharge_soh,13,3394.25,16.75,3.561415394456044,0.929537328
B07_discharge_soh,14,3394.047,16.687,3.557427739082417,0.929504229
B07_discharge_soh,15,3374.453,16.688,3.56514118458011,0.92968113
B07_discharge_soh,16,3373.406,16.844,3.562570649055249,0.929367773
B07_discharge_soh,17,3373.812,16.734,3.5589678714530386,0.923908646
B07_discharge_soh,18,3354.766,16.75,3.565541468233333,0.924262646
B07_discharge_soh,19,3354.64,16.719,3.562968707694445,0.924189476
B07_discharge_soh,20,3434.203,16.718,3.560604627494565,0.940390272
B07_discharge_soh,21,3435.25,16.735,3.561842195809782,0.94073608
B07_discharge_soh,22,3414.938,16.766,3.567230412191257,0.940547716
B07_discharge_soh,23,3416.625,16.75,3.560907798612022,0.935504483
B07_discharge_soh,24,3415.187,16.703,3.5572288148360656,0.935099758
B07_discharge_soh,25,3396.218,16.797,3.5638839689890105,0.935335768
B07_discharge_soh,26,3395.437,16.719,3.558791001620879,0.929806232
B07_discharge_soh,27,3376.781,16.703,3.564373556972375,0.930016955
B07_discharge_soh,28,3375.094,16.641,3.5610244822651933,0.929582656
B07_discharge_soh,29,3375.093,16.734,3.557644934464088,0.924069909
B07_discharge_soh,30,3357.094,16.734,3.5620168190055552,0.924600851
B07_discharge_soh,31,3431.484,9.39,3.5651011926403267,0.941733872
B07_discharge_soh,32,3394.547,9.375,3.5659473273057847,0.931410556
B07_discharge_soh,33,3375.563,9.422,3.5652286618310245,0.92604252
B07_discharge_soh,34,3366.453,9.406,3.5606955398888886,0.923475233
B07_discharge_soh,35,3348.562,9.406,3.5617435996759776,0.918414216
B07_discharge_soh,36,3348.703,9.375,3.5618736432290503,0.918580981
B07_discharge_soh,37,3339.25,9.36,3.5586419434901955,0.915836129
B07_discharge_soh,38,3320.015,9.36,3.5608832881183092,0.910573548
B07_discharge_soh,39,3311.781,9.359,3.55799222389548,0.908253046
B07_discharge_soh,40,3301.579,9.406,3.559434918866856,0.90569078
B07_discharge_soh,41,3302.281,9.422,3.5593264480283286,0.905802817
